customer_id,first_name,last_name,email,phone,gender,age,city,state,signup_date,customer_type
1,Veer,Edwin,armaansami@gmail.com,918089532781,Other,46,Saharsa,Jharkhand,2026-01-26,New
2,Piya,Bir,arnavbumb@gmail.com,910101028932,Male,38,Davanagere,Goa,2022-05-05,New
3,Indranil,Barad,aarush87@yahoo.com,915659844791,Other,40,Uluberia,Meghalaya,2025-09-15,New
4,Ishaan,Chana,fdua@gmail.com,3500232924,Male,53,Cuttack,Chhattisgarh,2024-02-19,New
5,Saksham,Chacko,vardaniya13@dutta.net,8845610131,Other,39,Narasaraopet,Gujarat,2022-05-14,New
6,Advika,Butala,bakshionkar@hotmail.com,9307516676,Female,55,Bharatpur,Maharashtra,2025-10-10,New
7,Anika,Anne,xchand@hotmail.com,413789059,Male,50,Agra,Arunachal Pradesh,2022-02-13,New
8,Sara,Gala,rjayaraman@mahajan-bose.com,4779171357,Female,61,Kharagpur,Nagaland,2025-11-18,New
9,Damini,Saha,trisha18@atwal-zacharia.com,914082221473,Other,59,Chittoor,Mizoram,2025-10-07,New
10,Bhamini,Borah,maharajvidur@garde.biz,2486813790,Other,64,Jamshedpur,Assam,2023-08-07,Returning
11,Neysa,Thakkar,ramtaran@tara.com,917276049249,Other,20,Medininagar,Assam,2024-03-25,Loyal
12,Siya,Bahl,agarwalehsaan@sachar.com,917803765649,Other,38,Mau,Chhattisgarh,2025-01-03,Returning
13,Zain,Mane,aggarwaldiya@hotmail.com,3996135920,Female,21,Rajkot,Meghalaya,2022-10-14,Loyal
14,Raghav,Sridhar,stuvangarde@basak-bir.com,914345779296,Female,26,Guwahati,Gujarat,2023-09-10,New
15,Gatik,Roy,suhanamaharaj@ranganathan-bhagat.info,2229564151,Female,37,Hindupur,Punjab,2023-08-23,New
16,Raunak,Dave,yuvraj-karnik@wable-sheth.com,8393744103,Other,61,Kolkata,Arunachal Pradesh,2025-08-21,Returning
17,Abram,Dubey,sridharnayantara@dhingra.org,919961181940,Other,52,Vijayawada,Chhattisgarh,2024-03-01,Loyal
18,Biju,Dora,advikdass@gmail.com,916359430063,Female,57,Kalyan-Dombivli,Punjab,2025-04-25,Returning
19,Lavanya,Sethi,renee93@yahoo.com,5642994389,Female,23,Agartala,Bihar,2025-01-31,New
20,Farhan,Karpe,varghesezaina@sharaf.com,3949310783,Female,46,Madurai,Nagaland,2022-02-14,Loyal
21,Dhanuk,Solanki,tripathikimaya@bhasin.com,919865038150,Female,61,Raipur,Tripura,2025-03-29,Loyal
22,Aayush,Gaba,baradtushar@hotmail.com,8377556413,Female,53,South Dumdum,Manipur,2022-04-26,Returning
23,Divit,Maharaj,aarav33@dayal-arya.com,5323834314,Other,25,Madanapalle,Sikkim,2022-12-05,Returning
24,Anahita,Wadhwa,onkargulati@gmail.com,5590359552,Male,57,Jabalpur,Jharkhand,2023-06-22,Loyal
25,Himmat,D’Alia,taimurkhalsa@hotmail.com,7279011608,Male,35,Ongole,Jharkhand,2023-07-27,Returning
26,Shanaya,Badal,ysaxena@sekhon.com,7996385790,Female,42,Dhule,Arunachal Pradesh,2022-06-06,New
27,Tanya,Mahajan,kimayabahl@divan.com,918274329231,Male,58,Nagpur,Bihar,2022-09-11,New
28,Tejas,Chandran,priyanshwali@das-singh.com,910798301313,Male,18,Pondicherry,Andhra Pradesh,2023-10-01,New
29,Emir,Bakshi,kkade@ahluwalia-hayre.com,3991625031,Male,41,Coimbatore,Uttar Pradesh,2024-01-15,New
30,Kabir,Salvi,esami@dash-swaminathan.biz,911993987222,Other,28,Vijayawada,Mizoram,2024-05-24,New
31,Tara,Toor,somanvihaan@gmail.com,4313594430,Other,52,Salem,Nagaland,2026-01-07,Returning
32,Tarini,Salvi,indranskhatri@hotmail.com,912547834416,Male,59,Kulti,Arunachal Pradesh,2023-01-20,New
